UID          PID    PPID  C STIME TTY          TIME CMD
ubuntu      1546    1487  0 23:22 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
rtkit       1547       1  0 23:22 ?        00:00:00 /usr/libexec/rtkit-daemon
ubuntu      1549    1546  0 23:22 tty2     00:00:12 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/999/gdm/Xauthority -background none -noreset -keeptty -verbose 3
ubuntu      1554    1529  0 23:22 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
ubuntu      1560    1529  0 23:22 ?        00:00:00 /usr/libexec/gvfsd
ubuntu      1575    1529  0 23:22 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/999/gvfs -f -o big_writes
ubuntu      1581    1529  0 23:22 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
ubuntu      1587    1529  0 23:22 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
ubuntu      1592    1529  0 23:22 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
ubuntu      1597    1529  0 23:22 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
ubuntu      1601    1529  0 23:22 ?        00:00:00 /usr/libexec/goa-daemon
ubuntu      1642    1529  0 23:22 ?        00:00:00 /usr/libexec/goa-identity-service
ubuntu      1647    1529  0 23:22 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
root        1657       1  0 23:22 ?        00:00:00 /usr/lib/upower/upowerd
ubuntu      1741    1546  0 23:22 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
ubuntu      1812    1741  0 23:22 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
ubuntu      1829    1529  0 23:22 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
ubuntu      1834    1829  0 23:22 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
ubuntu      1891    1529  0 23:22 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
ubuntu      1906    1529  0 23:22 ?        00:00:00 /usr/libexec/dconf-service
ubuntu      1911    1529  0 23:22 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
ubuntu      1927    1529  1 23:22 ?        00:00:32 /usr/bin/gnome-shell
ubuntu      1997    1927  0 23:22 ?        00:00:00 ibus-daemon --panel disable --xim
ubuntu      2000    1529  0 23:22 ?        00:00:00 /usr/libexec/xdg-permission-store
ubuntu      2004    1529  0 23:22 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
ubuntu      2014    1529  0 23:22 ?        00:00:00 /usr/libexec/evolution-source-registry
ubuntu      2022    1997  0 23:22 ?        00:00:00 /usr/libexec/ibus-dconf
ubuntu      2023    1997  0 23:22 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
ubuntu      2027    1529  0 23:22 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
ubuntu      2032    1529  0 23:22 ?        00:00:00 /usr/libexec/ibus-portal
ubuntu      2043    1529  0 23:22 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
ubuntu      2048    1529  0 23:22 ?        00:00:00 /usr/libexec/evolution-calendar-factory
ubuntu      2069    1529  0 23:22 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
ubuntu      2074    1529  0 23:22 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
ubuntu      2089    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-a11y-settings
ubuntu      2090    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-color
ubuntu      2091    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-datetime
ubuntu      2092    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-housekeeping
ubuntu      2093    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-keyboard
ubuntu      2094    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-media-keys
ubuntu      2095    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-power
ubuntu      2096    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-print-notifications
ubuntu      2097    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-rfkill
ubuntu      2099    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
ubuntu      2100    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-sharing
ubuntu      2101    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-smartcard
ubuntu      2102    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-sound
ubuntu      2115    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-usb-protection
ubuntu      2120    1529  0 23:22 ?        00:00:00 /usr/bin/spice-vdagent
ubuntu      2125    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-wacom
ubuntu      2126    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-wwan
